Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.61,0.61,0.4495598609091254
100% Corpus,3,0.61,0.9099999999999999,0.466107289217983
100% Corpus,3,0.61,symmetric,0.4427227773848288
100% Corpus,3,0.9099999999999999,0.01,0.4113986623988599
100% Corpus,3,0.9099999999999999,0.31,0.447634140542949
100% Corpus,3,0.9099999999999999,0.61,0.4610057714162969
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4526833526331086
100% Corpus,3,0.9099999999999999,symmetric,0.447634140542949
100% Corpus,3,symmetric,0.01,0.4320648124288726
100% Corpus,3,symmetric,0.31,0.4294165785586371
100% Corpus,3,symmetric,0.61,0.4254788750036838
100% Corpus,3,symmetric,0.9099999999999999,0.4372489095864374
100% Corpus,3,symmetric,symmetric,0.4294165785586371
100% Corpus,3,asymmetric,0.01,0.47746005934100433
100% Corpus,3,asymmetric,0.31,0.4304580081422385
100% Corpus,3,asymmetric,0.61,0.36485526267104995
100% Corpus,3,asymmetric,0.9099999999999999,0.24649099350251016
100% Corpus,3,asymmetric,symmetric,0.4304580081422385
100% Corpus,4,0.01,0.01,0.47450847260357115
100% Corpus,4,0.01,0.31,0.3976158780494964
100% Corpus,4,0.01,0.61,0.43836279920136756
100% Corpus,4,0.01,0.9099999999999999,0.4266619883231616
100% Corpus,4,0.01,symmetric,0.4612533723003313
100% Corpus,4,0.31,0.01,0.46537436645959607
100% Corpus,4,0.31,0.31,0.43055439638270304
100% Corpus,4,0.31,0.61,0.42515736181373454
100% Corpus,4,0.31,0.9099999999999999,0.41473361181217383
100% Corpus,4,0.31,symmetric,0.43443060204921186
100% Corpus,4,0.61,0.01,0.43838463447330883
100% Corpus,4,0.61,0.31,0.42657315804016294
100% Corpus,4,0.61,0.61,0.3812932889762143
100% Corpus,4,0.61,0.9099999999999999,0.38639030327807744
100% Corpus,4,0.61,symmetric,0.4414377036052909
100% Corpus,4,0.9099999999999999,0.01,0.4330922932425551
100% Corpus,4,0.9099999999999999,0.31,0.42143163741983347
100% Corpus,4,0.9099999999999999,0.61,0.41868061855740946
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.3865015011429733
100% Corpus,4,0.9099999999999999,symmetric,0.44179421074248965
100% Corpus,4,symmetric,0.01,0.4691076017157807
100% Corpus,4,symmetric,0.31,0.4469279694935857
100% Corpus,4,symmetric,0.61,0.39789152159670954
100% Corpus,4,symmetric,0.9099999999999999,0.44184513526153596
100% Corpus,4,symmetric,symmetric,0.45470985172676215
100% Corpus,4,asymmetric,0.01,0.4390044478277143
100% Corpus,4,asymmetric,0.31,0.3853497883492045
100% Corpus,4,asymmetric,0.61,0.3703680659192793
100% Corpus,4,asymmetric,0.9099999999999999,0.3491599149994682
100% Corpus,4,asymmetric,symmetric,0.39896766106654147
100% Corpus,5,0.01,0.01,0.4205102617501521
100% Corpus,5,0.01,0.31,0.42665579599450626
100% Corpus,5,0.01,0.61,0.42339375822250264
100% Corpus,5,0.01,0.9099999999999999,0.4073401503828563
100% Corpus,5,0.01,symmetric,0.38063993343885755
100% Corpus,5,0.31,0.01,0.4466397700744603
100% Corpus,5,0.31,0.31,0.4198457208744573
100% Corpus,5,0.31,0.61,0.399655059174469
100% Corpus,5,0.31,0.9099999999999999,0.3857114848239446
100% Corpus,5,0.31,symmetric,0.43722536278752855
100% Corpus,5,0.61,0.01,0.4164714501644755
100% Corpus,5,0.61,0.31,0.3796799337776159
100% Corpus,5,0.61,0.61,0.3755303651203567
100% Corpus,5,0.61,0.9099999999999999,0.3844168874701164
100% Corpus,5,0.61,symmetric,0.3938572602851585
100% Corpus,5,0.9099999999999999,0.01,0.42036431181988937
100% Corpus,5,0.9099999999999999,0.31,0.3699476684396646
100% Corpus,5,0.9099999999999999,0.61,0.36026011988582696
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.35898658408909634
100% Corpus,5,0.9099999999999999,symmetric,0.3769835957960829
100% Corpus,5,symmetric,0.01,0.4162656776352893
100% Corpus,5,symmetric,0.31,0.3901650718620865
100% Corpus,5,symmetric,0.61,0.4105241502901847
100% Corpus,5,symmetric,0.9099999999999999,0.3751034550669501
100% Corpus,5,symmetric,symmetric,0.38205981776382886
100% Corpus,5,asymmetric,0.01,0.4439669327216027
100% Corpus,5,asymmetric,0.31,0.4809089276553338
100% Corpus,5,asymmetric,0.61,0.48351178008428486
100% Corpus,5,asymmetric,0.9099999999999999,0.4295358579966383
100% Corpus,5,asymmetric,symmetric,0.49265062833027107
100% Corpus,6,0.01,0.01,0.3966861214178814
100% Corpus,6,0.01,0.31,0.3938656284822692
100% Corpus,6,0.01,0.61,0.3287123287405361
100% Corpus,6,0.01,0.9099999999999999,0.33018763606253243
100% Corpus,6,0.01,symmetric,0.39335210598491077
100% Corpus,6,0.31,0.01,0.3568623643621039
100% Corpus,6,0.31,0.31,0.37012678292370205
100% Corpus,6,0.31,0.61,0.35164385483066446
100% Corpus,6,0.31,0.9099999999999999,0.32876235491749467
100% Corpus,6,0.31,symmetric,0.3594622301111307
100% Corpus,6,0.61,0.01,0.34519625795541703
100% Corpus,6,0.61,0.31,0.3492619715419499
100% Corpus,6,0.61,0.61,0.2869760077899065
100% Corpus,6,0.61,0.9099999999999999,0.30177776347004664
100% Corpus,6,0.61,symmetric,0.3293052085781278
100% Corpus,6,0.9099999999999999,0.01,0.3445421389355489
100% Corpus,6,0.9099999999999999,0.31,0.2899775541527602
100% Corpus,6,0.9099999999999999,0.61,0.3080338688881523
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.37787836749128845
100% Corpus,6,0.9099999999999999,symmetric,0.33010761885338596
100% Corpus,6,symmetric,0.01,0.36678243649305964
100% Corpus,6,symmetric,0.31,0.35911611359270795
100% Corpus,6,symmetric,0.61,0.3587274814875483
100% Corpus,6,symmetric,0.9099999999999999,0.3662181407615643
100% Corpus,6,symmetric,symmetric,0.35217655929448916
100% Corpus,6,asymmetric,0.01,0.40555567788869223
100% Corpus,6,asymmetric,0.31,0.38330772540826685
100% Corpus,6,asymmetric,0.61,0.32191864522427066
100% Corpus,6,asymmetric,0.9099999999999999,0.3056979379169049
100% Corpus,6,asymmetric,symmetric,0.4388384066534013
100% Corpus,7,0.01,0.01,0.3268993910763716
100% Corpus,7,0.01,0.31,0.38561897447768656
100% Corpus,7,0.01,0.61,0.3878653150318955
100% Corpus,7,0.01,0.9099999999999999,0.3729955704647689
100% Corpus,7,0.01,symmetric,0.34803733919817853
100% Corpus,7,0.31,0.01,0.35020740097875164
100% Corpus,7,0.31,0.31,0.353537580113387
100% Corpus,7,0.31,0.61,0.3188682644028676
100% Corpus,7,0.31,0.9099999999999999,0.32583017288860266
100% Corpus,7,0.31,symmetric,0.3675886289249326
100% Corpus,7,0.61,0.01,0.3702805734865624
100% Corpus,7,0.61,0.31,0.34289753296945663
100% Corpus,7,0.61,0.61,0.33249401946234153
100% Corpus,7,0.61,0.9099999999999999,0.3338022211323122
100% Corpus,7,0.61,symmetric,0.3667712654416343
100% Corpus,7,0.9099999999999999,0.01,0.3838162062603216
100% Corpus,7,0.9099999999999999,0.31,0.285506354223442
100% Corpus,7,0.9099999999999999,0.61,0.2873978162992059
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4021455331834712
100% Corpus,7,0.9099999999999999,symmetric,0.32772558558574644
100% Corpus,7,symmetric,0.01,0.3385450782037707
100% Corpus,7,symmetric,0.31,0.32868894780180724
100% Corpus,7,symmetric,0.61,0.38652089940836926
100% Corpus,7,symmetric,0.9099999999999999,0.3818481517747846
100% Corpus,7,symmetric,symmetric,0.3017906315318987
100% Corpus,7,asymmetric,0.01,0.35886149675535217
100% Corpus,7,asymmetric,0.31,0.37579569628209264
100% Corpus,7,asymmetric,0.61,0.3712960961799954
100% Corpus,7,asymmetric,0.9099999999999999,0.38830520456822565
100% Corpus,7,asymmetric,symmetric,0.3907950699316091
100% Corpus,8,0.01,0.01,0.37867322386381486
100% Corpus,8,0.01,0.31,0.3530714186498656
100% Corpus,8,0.01,0.61,0.35008920895064244
100% Corpus,8,0.01,0.9099999999999999,0.3302086274756687
100% Corpus,8,0.01,symmetric,0.3844011104003745
100% Corpus,8,0.31,0.01,0.35615318243010635
100% Corpus,8,0.31,0.31,0.3609561653578879
100% Corpus,8,0.31,0.61,0.38058062991432373
100% Corpus,8,0.31,0.9099999999999999,0.38405175368120126
100% Corpus,8,0.31,symmetric,0.3504400942229936
100% Corpus,8,0.61,0.01,0.36065827035790693
100% Corpus,8,0.61,0.31,0.3447206512203703
100% Corpus,8,0.61,0.61,0.34988279261270894
100% Corpus,8,0.61,0.9099999999999999,0.3576600169140106
100% Corpus,8,0.61,symmetric,0.34081330669606064
100% Corpus,8,0.9099999999999999,0.01,0.3748304982462527
100% Corpus,8,0.9099999999999999,0.31,0.33177073510158434
100% Corpus,8,0.9099999999999999,0.61,0.35119952132819143
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.39072210357229253
100% Corpus,8,0.9099999999999999,symmetric,0.3347323788749841
100% Corpus,8,symmetric,0.01,0.3658026178422529
100% Corpus,8,symmetric,0.31,0.38810967864691565
100% Corpus,8,symmetric,0.61,0.33497249461845163
100% Corpus,8,symmetric,0.9099999999999999,0.3479023303642258
100% Corpus,8,symmetric,symmetric,0.3954573635714258
100% Corpus,8,asymmetric,0.01,0.3956675057138882
100% Corpus,8,asymmetric,0.31,0.39766986157710105
100% Corpus,8,asymmetric,0.61,0.3901964770413682
100% Corpus,8,asymmetric,0.9099999999999999,0.42221683980166014
100% Corpus,8,asymmetric,symmetric,0.4246236909594083
100% Corpus,9,0.01,0.01,0.41260962284993125
100% Corpus,9,0.01,0.31,0.3640441041089977
100% Corpus,9,0.01,0.61,0.36566246969458355
100% Corpus,9,0.01,0.9099999999999999,0.3475813641723091
100% Corpus,9,0.01,symmetric,0.3763045739893729
100% Corpus,9,0.31,0.01,0.363576608488192
100% Corpus,9,0.31,0.31,0.3610968174497785
